Input (Roman),Predicted (Devanagari),True (Devanagari),Match
vidhivat,विधिवत्,विधिवत,False
wipro,विपरो,विप्रो,False
vibhram,विभररम,विभ्रम,False
vibhrm,विभर्म,विभ्रम,False
vishwasniiya,विश्वसीनीय,विश्वसनीय,False
vishwasniiyataa,विश्वसीनियता,विश्वसनीयता,False
vishnu,विश्णु,विष्णु,False
ved,वेद,वेड,False
wed,वेद,वेड,False
velvet,वेल्वे,वेलवेट,False
welwet,वेलेट,वेलवेट,False
vaigyaanikta,वैज्ञानिकतता,वैज्ञानिकता,False
vaigyanikata,वैज्ञानिकतता,वैज्ञानिकता,False
vaigyanikta,वैज्ञानिकिता,वैज्ञानिकता,False
vaitrawati,वैत्रवाती,वैत्रवती,False
vyaktigat,व्यक्तितत,व्यक्तिगत,False
vyavahargat,व्यवाररागत,व्यवहारगत,False
vyaghat,व्याघाट,व्याघात,False
vlad,व्लाड,व्लाद,False
shbana,शब्ना,शबाना,False
shakhayen,शखाएं,शाखाएं,False
shujat,शुजत,शुजात,False
shrimati,श्रीमती,श्रीमति,False
sanchalanon,संचलनों,संचालनों,False
sanchalnon,संचलनों,संचालनों,False
sanjay,संजाय,संजय,False
sandarbha,संदर्भा,संदर्भ,False
samprti,संपृ्ति,संप्रति,False
samprabhuta,संप्रभूत,संप्रभुता,False
samvedikaran,सावेदिीकरण,संवेदीकरण,False
sanvedikaran,संवेदीकीरण,संवेदीकरण,False
sanskaar,संस्कर,संस्कार,False
sanskari,संस्करी,संस्कारी,False
sanasthit,सनस्थित,संस्थित,False
sate,सेट,सते,False
satvat,सतवतत,सत्वत,False
sapramaan,सप्रमण,सप्रमाण,False
sabhayen,सभायें,सभाएं,False
samjhoonga,समझुंगा,समझूंगा,False
salahkar,सालहकर,सलाहकार,False
salib,साीबब,सलीब,False
sahadev,सहादेव,सहदेव,False
sathiya,साठिया,साथिया,False
saayn,सायन,सायं,False
sayara,सायर,सायरा,False
sayra,सायर,सायरा,False
salve,सैलव,साल्वे,False
singar,सिंगर,सिंगार,False
simate,सीमते,सिमटे,False
simi,सीमी,सिमी,False
sutli,सूतली,सुतली,False
suneeti,सुनीती,सुनीति,False
surveen,सर्वीन,सुरवीन,False
suljayi,सुलजाईी,सुलझाई,False
susanskrit,सुससंस्रित,सुसंस्कृत,False
susanskrut,सुससंस्रृत,सुसंस्कृत,False
seth,सेठ,सेथ,False
selfie,सेलफाइ,सेल्फी,False
scala,स्केला,स्काला,False
squash,स्क्वाफ,स्क्वाश,False
stop,स्टोप,स्टॉप,False
stops,स्टोप्स,स्टॉप्स,False
stre,स्ट्र,स्ट्रे,False
sthool,स्थुल,स्थूल,False
sthoolta,स्थुलता,स्थूलता,False
sneakers,स्नेकर्स,स्नीकर्स,False
swaachaalit,स्वचालित,स्वाचालित,False
swiftlate,स्विट्ाइटट,स्विफ्टलेट,False
humlavar,हमललवार,हमलावर,False
hamal,हमल,हमाल,False
harijan,हरीजन,हरिजन,False
hasinon,हासिनों,हसीनों,False
haarjeet,हारीत,हारजीत,False
hijda,हिजडा,हिजड़ा,False
hijbul,हिजबूल,हिजबुल,False
hegde,हेग्ड,हेगडे,False
hairam,हैराम,हैरम,False
