Input (Roman),Predicted (Devanagari),True (Devanagari),Match
avaigyanic,अवैज्ञानिक,अवैज्ञानिक,True
ashktta,आशक्तता,अशक्तता,False
ashvtth,अश्वत्थ,अश्वत्थ,True
asurakshit,असुरक्षित,असुरक्षित,True
asurkshit,असुरक्षित,असुरक्षित,True
aset,एसेट,असेट,False
aswbhavik,अस्वभभविक,अस्वभाविक,False
ahirauli,अहिरौली,अहिरौली,True
ipc,आईपीसी,आईपीसी,True
ounce,ओूएस,आउंस,False
aakaash,आकाश,आकाश,True
aakash,आकाश,आकाश,True
aake,आके,आके,True
aagat,आगत,आगत,True
aagaman,आगमान,आगमन,False
aagman,आगमान,आगमन,False
aajmaanaa,आजमाना,आजमाना,True
aajmana,आजमाना,आजमाना,True
aazmaanaa,आजमाना,आजमाना,True
aatmayen,आत्मयं,आत्माएं,False
aadaan,आदान,आदान,True
aadhaarit,आधारित,आधारित,True
aadharit,आधारित,आधारित,True
aadheen,आधीन,आधीन,True
aadhin,आधीन,आधीन,True
aadhunik,आधुनिक,आधुनिक,True
aapka,आपका,आपका,True
aapkaa,आपका,आपका,True
aapadaaaen,आपदाएं,आपदाएं,True
aapdaein,आपदाएं,आपदाएं,True
aapdayein,आपदाएं,आपदाएं,True
aamdan,आमदान,आमदन,False
aamdani,आमदानी,आमदनी,False
aamdi,आमदी,आमदी,True
aamod,आमोद,आमोद,True
aayenge,आएंगे,आयेंगे,False
aayojak,आयोजक,आयोजक,True
rp,आरपी,आरपी,True
aaraam,आराम,आराम,True
aaram,आरम,आराम,False
aryon,आर्यों,आर्यों,True
aalsi,आलसी,आलसी,True
aalochak,आलोचक,आलोचक,True
aalochakon,आलोककों,आलोचकों,False
aalha,आल्हा,आल्हा,True
aalhaa,आल्हा,आल्हा,True
aavishkaar,आविष्कार,आविष्कार,True
aavritti,आवृत्ति,आवृत्ति,True
aavrittiyon,आवृत्तियों,आवृत्तियों,True
aashanka,आशंका,आशंका,True
aashriton,आश्रितों,आश्रितों,True
aasaan,आसान,आसान,True
aastik,आस्तिक,आस्तिक,True
aasteen,आस्तीन,आस्तीन,True
aahnaan,आहाान,आह्नान,False
aahnan,आहना,आह्नान,False
ilaaj,इलाज़,इलाज,False
ilaj,इलाज,इलाज,True
ishaak,इशाक,इशाक,True
ishaaq,इशाा,इशाक,False
ishaara,इशारा,इशारा,True
ishaaraa,इशारा,इशारा,True
ishita,इशिता,इशिता,True
ea,इई,ईए,False
eater,इटर,ईटर,False
isaaiyon,ईसाईयों,ईसाइयों,False
isaiyon,ईसाईयों,ईसाइयों,False
uchhalane,उछाले,उछालने,False
uchhalne,उछलने,उछालने,False
uthne,उठाने,उठने,False
uthaakar,उठाकर,उठाकर,True
uthakar,उठाकर,उठाकर,True
utpan,उत्पन,उत्पन,True
upadraviyon,उपद्रवियों,उपद्रवियों,True
updraviyon,उपद्रवियों,उपद्रवियों,True
upadravi,उपद्रवी,उपद्रवी,True
updravi,उपद्रवी,उपद्रवी,True
upadrawon,उपदर्वों,उपद्रवों,False
updravon,उपद्रवों,उपद्रवों,True
upneta,उपनेता,उपनेता,True
ubaal,उबाल,उबाल,True
ubhaara,उभारा,उभारा,True
urf,उरफ,उर्फ,False
urff,उरफफ,उर्फ,False
urvarakon,उप्वराकों,उर्वरकों,False
urwarakon,उूरवारकों,उर्वरकों,False
urvarta,उर्वरता,उर्वरता,True
urwarta,उर्वरता,उर्वरता,True
usak,उसक,उसक,True
usaki,उसकी,उसकी,True
usmen,उसमेें,उसमें,False
usi,उसी,उसी,True
rishikul,ऋषिकुल,ऋषिकुल,True
rushikul,ऋषिकुल,ऋषिकुल,True
antony,एंटोनी,एंटोनी,True
ekaki,एकाी,एकाकी,False
egmore,इजमोर,एगमोर,False
adp,एडीपी,एडीपी,True
emerald,एमररल्ड,एमरल्ड,False
emil,इमिल,एमिल,False
emi,एमी,एमी,True
eyarave,एयरव,एयरवे,False
eyarve,एयरवे,एयरवे,True
erica,एरिका,एरिका,True
erika,एरिका,एरिका,True
allergic,एल्रजिक,एलर्जिक,False
eliminator,एलिमिनेटर,एलिमिनेटर,True
sfc,एसएीसी,एसएफसी,False
spf,एसपीएफ,एसपीएफ,True
association,एसोसिएशन,एसोसिएशन,True
ester,एस्टर,एस्टर,True
asthetic,एस्थेटिक,एस्थेटिक,True
ehsaas,इहसास,एहसास,False
ehsas,इहसा,एहसास,False
ainth,ऐंठ,ऐंठ,True
ainthey,ऐंठे,ऐंठे,True
ail,ऐयल,ऐल,False
aise,ऐसे,ऐसे,True
oxide,ऑक्सीइड,ऑक्साइड,False
oxy,ऑक्सी,ऑक्सी,True
offers,ऑफर्स,ऑफर्स,True
obrayan,ऑबररयन,ओब्रायन,False
ovum,ओवम,ओवम,True
owem,ओवम,ओवम,True
auchitya,औषित्य,औचित्य,False
audyogikarana,औद्योगिकरण,औद्योगिकरण,True
aurora,औरोड़ा,औरोरा,False
kankar,कंकर,कंकर,True
kangan,कांगा,कंगन,False
composer,कंपोजर,कंपोजर,True
kanblon,कांबलों,कंबलों,False
kakkad,कक्कड़,कक्कड़,True
kacche,कच्चे,कच्चे,True
kachche,कच्चे,कच्चे,True
kanaal,कनाल,कनाल,True
kanal,कानल,कनाल,False
kaningham,कणिंघम,कनिंघम,False
kanishthika,कणिष्ठिका,कनिष्ठिका,False
kanishthikaa,कणिष्ठिका,कनिष्ठिका,False
kanyaayen,कन्यायं,कन्याएं,False
kanyaein,कन्याएं,कन्याएं,True
kanyayen,कन्यययं,कन्याएं,False
convocation,कनोवकेशन,कन्वोकेशन,False
cup,कप,कप,True
kap,कप,कप,True
kabron,कब्रों,कब्रों,True
kamaljeet,कमलजीत,कमलजीत,True
kamaauu,कमाऊ,कमाऊ,True
kamaate,कमाते,कमाते,True
kamate,कमते,कमाते,False
kamere,कमेरे,कमेरे,True
kmere,कमरे,कमेरे,False
karoor,करूर,करूर,True
karur,करूर,करूर,True
kalpanaon,कल्पनाओं,कल्पनाओं,True
kalpnaon,कल्पनाओं,कल्पनाओं,True
kasarat,कसारत,कसरत,False
kasrat,कसरत,कसरत,True
kasara,कसारा,कसारा,True
kasida,कसीदा,कसीदा,True
kahne,कहने,कहने,True
kahlaya,कहलाया,कहलाया,True
kahaniyon,कहानियों,कहानियों,True
kanji,कंंजी,कांजी,False
kakoo,काकू,काकू,True
kaku,काकू,काकू,True
kaaji,काजी,काजी,True
kaji,काजी,काजी,True
kazi,काजी,काजी,True
qazi,काजी,काजी,True
kajoo,काजू,काजू,True
kaju,काजू,काजू,True
kaylana,कायलना,कायलाना,False
kartik,कार्तिक,कार्तिक,True
karykartaaon,कार्यकर्ताओं,कार्यकर्ताओं,True
karyabhar,कार्यभार,कार्यभार,True
karybhar,कार्भभर,कार्यभार,False
kalika,कालिका,कालिका,True
kalighat,कालीघाट,कालीघाट,True
kaav,काव,काव,True
qasim,क़ससिम,कासिम,False
kiya,किया,किया,True
kisaani,किसाी,किसानी,False
keede,कीडे,कीड़े,False
kundal,कुंदल,कुंडल,False
kuposhit,कुपोषित,कुपोषित,True
kumawat,कुमावट,कुमावत,False
kural,कुरल,कुराल,False
kurmi,कुर्मी,कुर्मी,True
kursiyon,कुर्सियों,कुर्सियों,True
kush,कुश,कुश,True
kusumalataa,कुसुमलता,कुसुमलता,True
kusumalta,कुसुमलता,कुसुमलता,True
koot,कूट,कूट,True
caitlyn,कैटलिनन,कैटलिन,False
catlin,कैटलिन,कैटलिन,True
cadmium,कैडमियम,कैडमियम,True
kaetholikon,कैथोलिकों,कैथोलिकों,True
cavity,केविटी,कैविटी,False
corolla,कोरोला,कोरोला,True
korola,कोरोल,कोरोला,False
koling,कोलिंग,कोलिंग,True
kaushal,कौशल,कौशल,True
kaushalata,कौशलता,कौशलता,True
kaushalta,कौशलता,कौशलता,True
krantiyon,क्रणंतियों,क्रांतियों,False
cric,क्रिक,क्रिक,True
crick,क्रिक,क्रिक,True
cricket,क्रिकेट,क्रिकेट,True
cricketer,क्रिकेटर,क्रिकेटर,True
kriyayog,क्रियायोग,क्रियायोग,True
chrom,क्रमम,क्रोम,False
chrome,क्रोम,क्रोम,True
clay,क्ले,क्ले,True
quantico,क्वांटिको,क्वांटिको,True
queens,क्वींस,क्वींस,True
kshitij,क्षितिज,क्षितिज,True
kshetron,क्षेत्रों,क्षेत्रों,True
khajraana,खजजाना,खजराना,False
khaein,खाएं,खाएं,True
khaen,खाएं,खाएं,True
khayen,खाएं,खाएं,True
khaate,खाते,खाते,True
khaatey,खाते,खाते,True
khate,खते,खाते,False
khal,खल,खाल,False
khinchakar,खींचाकर,खिंचकर,False
khinchkar,खींचकर,खिंचकर,False
khudai,खुदाई,खुदाई,True
khurapka,खुरपका,खुरपका,True
khurpaka,खुरपका,खुरपका,True
khushiyan,खुशियां,खुशियां,True
khene,खेने,खेने,True
khaini,खैनी,खैनी,True
khairati,खैरती,खैराती,False
khoya,खोया,खोया,True
gangaajal,गंगाजल,गंगाजल,True
gangajal,गंगाज,गंगाजल,False
gajra,गजरा,गजरा,True
gatisheel,गतीशील,गतिशील,False
gammat,गमममत,गम्मत,False
garjana,गरजना,गर्जना,False
gaanth,गांथ,गांठ,False
gaanthe,गांठे,गांठे,True
gaen,गाएं,गाएं,True
gayatri,गायत्री,गायत्री,True
gaytri,गायत्री,गायत्री,True
ginate,गिनते,गिनते,True
girjaghar,गिरजाघार,गिरजाघर,False
girati,गिराती,गिरती,False
girti,गिरती,गिरती,True
guan,गुवान,गुआन,False
guthalidar,गुतललिदार,गुठलीदार,False
gumaan,गुमान,गुमान,True
guman,गुमान,गुमान,True
gochar,गोचर,गोचर,True
gopichand,गोपीचंद,गोपीचंद,True
gomake,गोमके,गोमके,True
gomke,गोमके,गोमके,True
goyal,गोयाल,गोयल,False
gosvaami,गोस्वामी,गोस्वामी,True
gosvami,गोस्वामी,गोस्वामी,True
goswami,गोस्वामी,गोस्वामी,True
gaumukh,गौमुख,गौमुख,True
gaumutra,गौमूत्र,गौमूत्र,True
greest,ग्रिस्ट,ग्रीस्ट,False
greg,ग्रेग,ग्रेग,True
gross,ग्रोस,ग्रॉस,False
ghataayaa,घटाया,घटाया,True
ghataya,घटाया,घटाया,True
ghisai,घिसाई,घिसाई,True
ghisi,घीसी,घिसी,False
ghise,घिसे,घिसे,True
ghongha,घोंघा,घोंघा,True
ghontane,घोंटेन,घोंटने,False
ghontne,घोंटने,घोंटने,True
ghot,घोट,घोट,True
ghodi,घोड़ी,घोड़ी,True
changul,चंगुल,चंगुल,True
chandan,चांदन,चंदन,False
chandon,चंदों,चंदों,True
chandramaon,चंद्रमाओं,चंद्रमाओं,True
chakkar,चक्कर,चक्कर,True
chkkar,चककर,चक्कर,False
chakshu,चक्षु,चक्षु,True
chatgaon,चत्गाओ,चटगांव,False
chadhne,चढ़ने,चढ़ने,True
chaturdik,चतुर्दिक,चतुर्दिक,True
chabate,चबाते,चबाते,True
chamakna,चमकना,चमकना,True
charit,चरिि,चरित,False
charcha,चर्चा,चर्चा,True
charchaon,चर्चाओं,चर्चाओं,True
chalenge,चलेंगे,चलेंगे,True
chadar,चादर,चादर,True
chan,चान,चान,True
char,चार,चार,True
charge,चार्ज,चार्ज,True
charts,चार्ट,चार्ट्स,False
chaalit,चालित,चालित,True
chikitsak,चिकित्सक,चिकित्सक,True
chikitsakon,चिकित्सकों,चिकित्सकों,True
chikhali,चिखली,चिखली,True
chidchidapan,चिड़चिड़पन,चिड़चिड़ापन,False
chidhate,चिड़ते,चिढ़ते,False
chidhte,चीड़ते,चिढ़ते,False
chithrkar,चित्रकर,चित्रकार,False
chitrkar,चित्रकार,चित्रकार,True
chipakane,चिपकनन,चिपकने,False
chipakne,चिपकने,चिपकने,True
chee,ची,ची,True
chi,चि,ची,False
chuka,चूका,चुका,False
chune,चुने,चुने,True
chetti,चेत्टी,चेट्टी,False
chero,चेरो,चेरो,True
chest,चेस्ट,चेस्ट,True
chor,चोर,चोर,True
choron,चोरों,चोरों,True
chauk,चौक,चौक,True
chowk,चोवक,चौक,False
chauka,चौका,चौका,True
chaukiyan,चौकियां,चौकियां,True
chauki,चौकी,चौकी,True
chauguni,चौगुनी,चौगुनी,True
chauda,चौड़ा,चौड़ा,True
chausinga,चौसिंगा,चौसिंगा,True
chhagan,छाग,छगन,False
chhalla,छल्ला,छल्ला,True
chhallaa,छल्ला,छल्ला,True
chhai,छाई,छाई,True
chhaati,छाती,छाती,True
chhaapemaar,छापेमार,छापेमार,True
chheenk,छींक,छींक,True
chhuptaa,छुपटा,छुपता,False
chhuraa,छुरा,छुरा,True
chhuree,छुरी,छुरी,True
chhuri,छुरी,छुरी,True
chhure,छुरे,छुरे,True
chhootane,छूटने,छूटने,True
chhetr,छेतर,छेत्र,False
chhetri,छेत्री,छेत्री,True
chhetthri,छेत्रही,छेत्री,False
jagaega,जगाएगा,जगाएगा,True
jagayega,जगाएगा,जगाएगा,True
jgaayega,जगाएगा,जगाएगा,True
jgayegaa,जगाएगा,जगाएगा,True
jadein,जादें,जड़ें,False
jaden,जादें,जड़ें,False
jataati,जताती,जताती,True
jatatee,जताती,जताती,True
jatati,जताती,जताती,True
janajagran,जनजाग्ररण,जनजागरण,False
janjaagran,जनजाग्रण,जनजागरण,False
jamaati,जमाती,जमाती,True
jamati,जमतत,जमाती,False
jamaaya,जमाया,जमाया,True
jamaeya,जमाया,जमाया,True
jamaya,जमाया,जमाया,True
jamui,जमुई,जमुई,True
jarakh,जरखख,जरख,False
zarakh,ज़रख,जरख,False
jarda,जरदा,जर्दा,False
jardaa,जरदा,जर्दा,False
zarda,जार्दा,जर्दा,False
jalte,जलते,जलते,True
jalbhrav,जलभभरव,जलभराव,False
jalvaayu,जलवायु,जलवायु,True
jalvayu,जलवायु,जलवायु,True
jalesar,जलेसर,जलेसर,True
jasmeet,जस्मीत,जसमीत,False
jasmit,जस्मित,जसमीत,False
jaagriti,जागृति,जागृति,True
jaat,जात,जात,True
jat,जाट,जात,False
jaatak,जातक,जातक,True
jaatkon,जातकों,जातकों,True
jaatiyon,जातियों,जातियों,True
jatiyon,जातियों,जातियों,True
jaanam,जानम,जानम,True
jaayke,जायके,जायके,True
jayke,जायके,जायके,True
jaawar,जावर,जावर,True
jing,जिंग,जिंग,True
jin,जीन,जिन,False
jinee,जीनी,जिनी,False
jini,जीनी,जिनी,False
gypsy,जिप्सी,जिप्सी,True
jimme,जिम्मे,जिम्मे,True
jiya,जिया,जिया,True
jeetod,जीतोड,जीतोड़,False
jean,जीन,जीन,True
jeen,जीन,जीन,True
jeenon,जीनों,जीनों,True
jeeyo,जीयो,जीयो,True
jeera,जीरा,जीरा,True
jeevant,जीवंत,जीवंत,True
jivant,जीवंत,जीवंत,True
jeevan,जीवन,जीवन,True
jeewan,जीवान,जीवन,False
jivan,जीवन,जीवन,True
jiwan,जीवान,जीवन,False
jeevniyaan,जीवनियां,जीवनियां,True
jivaniyaan,जीवनियां,जीवनियां,True
jivaniyan,जीवनियां,जीवनियां,True
jeevraaj,जीवराज,जीवराज,True
jivraj,जीवराज,जीवराज,True
jue,जूए,जुए,False
juye,जुए,जुए,True
juti,जूटी,जुटी,False
junun,जुनुन,जुनून,False
junooni,जुनूनी,जुनूनी,True
juraab,जुराब,जुराब,True
jurab,जुरब,जुराब,False
julaahon,जुलाहों,जुलाहों,True
julahon,जुलाहों,जुलाहों,True
julmon,जुल्मों,जुल्मों,True
zulmon,जुल्मों,जुल्मों,True
jood,जूड,जूड,True
jetha,जेठा,जेठा,True
jenner,जेनर,जेनर,True
jenee,जेनी,जेनी,True
jenny,जेनी,जेनी,True
jeremy,जेरेमी,जेरेमी,True
jerome,जेरोम,जेरोम,True
jacks,जैक्स,जैक्स,True
jain,जैन,जैन,True
jaine,जैने,जैने,True
jainon,जैनों,जैनों,True
jogging,जोगिंग,जॉगिंग,False
joddta,जोड़ता,जोड़ता,True
jodiyon,जोड़ियों,जोड़ियों,True
gyatavya,ज्ञातव्य,ज्ञातव्य,True
gyapit,ज्ञापित,ज्ञापित,True
jyotiba,ज्योतिबा,ज्योतिबा,True
jvaaron,ज्वारों,ज्वारों,True
jvaron,ज्वरों,ज्वारों,False
jwaron,ज्ववरों,ज्वारों,False
jewellers,ज्वैलररस,ज्वेलर्स,False
jh,झ,झ,True
jhalakti,झलकती,झलकती,True
jhalkati,झलकती,झलकती,True
jheel,झील,झील,True
jhil,झिल,झील,False
jheelon,झीलों,झीलों,True
jhuthala,झूठला,झुठला,False
jhuthla,झूठला,झुठला,False
jhuthalane,झूठलाने,झुठलाने,False
jhuthlane,झुठलाने,झुठलाने,True
tankaar,टंकार,टंकार,True
takra,टकरा,टकरा,True
time,टाइम,टाइम,True
timer,टाइमर,टाइमर,True
taoo,ताओ,टाऊ,False
tau,ताउ,टाऊ,False
tarch,टार्च,टार्च,True
tip,टीप,टिप,False
teekon,टीकों,टीकों,True
tikon,टिकों,टीकों,False
tension,टेंशन,टेंशन,True
tenis,टेनिस,टेनिस,True
tennis,टेनिस,टेनिस,True
test,टेस्ट,टेस्ट,True
testing,टेस्टिंग,टेस्टिंग,True
tainin,तैनिन,टैनिन,False
tonga,टूंगा,टोंगा,False
toka,टोका,टोका,True
truck,ट्रिक,ट्रक,False
trebal,ट्रेबल,ट्रेबल,True
thakkar,ठक्कर,ठक्कर,True
thaharne,ठहरने,ठहरने,True
theharne,ठहरने,ठहरने,True
thikane,ठीकाे,ठिकाने,False
theinga,ठेंगा,ठेंगा,True
thenga,ठेंगा,ठेंगा,True
thengaa,ठेंगा,ठेंगा,True
down,डाउन,डाउन,True
daak,दाक,डाक,False
dit,डिट,डिट,True
dvc,डीवीसी,डीवीसी,True
domenic,डोमेनिक,डोमेनिक,True
doranda,डोरंडा,डोरंडा,True
dolne,डोलने,डोलने,True
dreijer,ड्रेजर,ड्रेजर,True
dhakaal,ढकाल,ढकाल,True
dhoondhata,ढूंधता,ढूंढता,False
dhundhata,ढूंधता,ढूंढता,False
dhundhta,ढूंधता,ढूंढता,False
tantr,तंत्र,तंत्र,True
tantra,तंत्र,तंत्र,True
tantrikao,तंत्रिकाओ,तंत्रिकाओं,False
tantrikaon,तंत्रिकाओं,तंत्रिकाओं,True
tapan,तापन,तपन,False
taraash,तराश,तराश,True
tarkvaad,तरर्वाद,तर्कवाद,False
talve,तलवे,तलवे,True
talawon,तलावों,तलवों,False
talvon,तलवांों,तलवों,False
tahakhana,तहखाना,तहखाना,True
tahkhaana,तहखाना,तहखाना,True
tahkhana,तहखाना,तहखाना,True
taantaa,तांता,तांता,True
taaja,ताजा,ताजा,True
taajaa,ताजा,ताजा,True
taaza,ताजा,ताजा,True
taja,ताजा,ताजा,True
taza,ताजा,ताजा,True
taapmaanon,तापमानों,तापमानों,True
tiwari,तिवाड़ी,तिवारी,False
ti,ती,ती,True
teer,तीर,तीर,True
tir,तिर,तीर,False
tungnath,तुनगनाथ,तुंगनाथ,False
tyauharon,त्याधारों,त्यौहारों,False
triya,त्रिया,त्रिया,True
thki,थकी,थकी,True
thaanvi,थानवी,थानवी,True
thanvi,ठनवी,थानवी,False
thirke,थीरके,थिरके,False
thief,थीफ,थीफ,True
then,ठेन,थेन,False
theni,थेनी,थेनी,True
thaili,थाली,थैली,False
danga,दंंग,दंगा,False
dampatiyon,दंपतियों,दंपतियों,True
danptiyon,दंपतियों,दंपतियों,True
damoh,दामोह,दमोह,False
darjano,दरजजनों,दर्जनों,False
dali,दली,दली,True
dastaanaa,दस्ताना,दस्ताना,True
dastana,दस्ताना,दस्ताना,True
dastavej,दस्तावेज,दस्तावेज,True
dahan,दहाँ,दहन,False
daakhil,दाखीलिल,दाखिल,False
daakhile,दाखीले,दाखिले,False
daataa,दाता,दाता,True
daanshil,दानशील,दानशील,True
daabholkar,दाभोलकर,दाभोलकर,True
dayitv,दययि््व,दायित्व,False
dayitvon,दययत्वों,दायित्वों,False
daav,दाव,दाव,True
daaw,दाव,दाव,True
daah,दाह,दाह,True
dikhla,दिखला,दिखला,True
dikhlaa,दिखला,दिखला,True
dikhaai,दिखाई,दिखाई,True
dikhai,दिखाई,दिखाई,True
dikhayi,दिखाईी,दिखाई,False
dita,दीता,दिता,False
ditaa,दिता,दिता,True
dinaank,दिनांक,दिनांक,True
diwani,दिवानी,दिवानी,True
divya,दिव्य,दिव्य,True
divyata,दिव्यता,दिव्यता,True
deepan,दीपन,दीपन,True
deepn,दीप्,दीपन,False
deepika,दीपिका,दीपिका,True
deeya,दीया,दीया,True
dukaanon,दुकानों,दुकानों,True
dukanon,दुकानों,दुकानों,True
dukhit,दुखित,दुखित,True
dukhiyon,दुखियों,दुखियों,True
dukhon,दुखों,दुखों,True
dubhashiyon,दुभाषियों,दुभाषियों,True
durghatna,दुर्घटना,दुर्घटना,True
durghtna,दुर्घटनता,दुर्घटना,False
duvidhaaen,दुविधाएं,दुविधाएं,True
duvidhaayein,दुविधाएं,दुविधाएं,True
duvidhaen,दुविधाएं,दुविधाएं,True
dune,दूने,दूने,True
doordarshan,दूरदर्शन,दूरदर्शन,True
dekhoge,देखोगे,देखोगे,True
denevaali,देनेवाली,देनेवाली,True
denevali,देनेवाली,देनेवाली,True
denewaali,देनेवाली,देनेवाली,True
denewali,देनेवाली,देनेवाली,True
devnaar,देवनार,देवनार,True
devnar,देवनर,देवनार,False
devaapur,देवापुर,देवापुर,True
devapur,देवापुर,देवापुर,True
devi,देवी,देवी,True
devisinh,देविसिह,देवीसिंह,False
deshkaal,देशकाल,देशकाल,True
deshkal,देशका,देशकाल,False
deshke,देशके,देशके,True
desai,देसाई,देसाई,True
dvivedi,द्विवेदी,द्विवेदी,True
dwivedi,द्विवेदी,द्विवेदी,True
dhandhe,धंधे,धंधे,True
dhakelte,ढकेलते,धकेलते,False
dhkelate,ढेलतते,धकेलते,False
dhankuber,धनकुबर,धनकुबेर,False
dhamkaataa,धमकता,धमकाता,False
dhamm,धम्म,धम्म,True
dhamma,धम्मा,धम्मा,True
dhammaa,धम्मा,धम्मा,True
dharmnath,धर्मनाथ,धर्मनाथ,True
dharmraj,धर्मराज,धर्मराज,True
dharmesh,धर्मेश,धर्मेश,True
dhaak,ढाक,धाक,False
dhaaga,धागा,धागा,True
dhaagaa,धागा,धागा,True
dhaga,ढागा,धागा,False
dhaatuein,धातुें,धातुएं,False
dhaatuyein,धातुेें,धातुएं,False
dhaarak,धारक,धारक,True
dharak,धारक,धारक,True
dhaari,धारी,धारी,True
dhari,धारी,धारी,True
dhunaai,धुनाई,धुनाई,True
dhunai,धुनाई,धुनाई,True
dhuriyaa,धुरिया,धुरिया,True
dhairyavaan,धैर्यवान,धैर्यवान,True
dhairyawan,धैर्यवान,धैर्यवान,True
dhokhebaaj,धोखेबाज,धोखेबाज,True
dhokhebaj,धोखेबाज,धोखेबाज,True
dhoraaji,धोराजी,धोराजी,True
dhoraji,धोराजी,धोराजी,True
dhoron,धोरों,धोरों,True
dhrupad,ध्रुद,ध्रुपद,False
naksal,नक्सल,नक्सल,True
naksalavaad,नक्सवावाद,नक्सलवाद,False
naksalwaad,नकसलवाद,नक्सलवाद,False
naksalwad,नकसलवाद,नक्सलवाद,False
naksaliyon,नकसालियों,नक्सलियों,False
nagaada,नगाड़ा,नगाड़ा,True
nagaadaa,नगगड़ा,नगाड़ा,False
nageene,नगीीन,नगीने,False
najraane,नजराने,नजराने,True
najeeb,नजीब,नजीब,True
najeem,नजीीम,नजीम,False
najim,नजीमम,नजीम,False
nazeem,नजीीम,नजीम,False
namkeen,नमककीन,नमकीन,False
narsanhar,नरसंहार,नरसंहार,True
narsanharon,नरसंहहारों,नरसंहारों,False
navketan,नवकततन,नवकेतन,False
navjaagaran,नवजागरण,नवजागरण,True
navjagran,नवजाग्रण,नवजागरण,False
navdha,नवधा,नवधा,True
nava,नवव,नवा,False
navaa,नवा,नवा,True
