Input (Roman),Predicted (Devanagari),True (Devanagari),Match
junun,जुनून,जुनून,True
jurab,जुराब,जुराब,True
jogging,जॉगिंग,जॉगिंग,True
jvaron,ज्वारों,ज्वारों,True
jwaron,ज्वारों,ज्वारों,True
jewellers,ज्वेलर्स,ज्वेलर्स,True
jhil,झील,झील,True
jhuthala,झुठला,झुठला,True
jhuthla,झुठला,झुठला,True
jhuthalane,झुठलाने,झुठलाने,True
taoo,टाऊ,टाऊ,True
tau,टाऊ,टाऊ,True
tip,टिप,टिप,True
tikon,टीकों,टीकों,True
tainin,टैनिन,टैनिन,True
tonga,टोंगा,टोंगा,True
truck,ट्रक,ट्रक,True
thikane,ठिकाने,ठिकाने,True
daak,डाक,डाक,True
dhoondhata,ढूंढता,ढूंढता,True
dhundhata,ढूंढता,ढूंढता,True
dhundhta,ढूंढता,ढूंढता,True
tantrikao,तंत्रिकाओं,तंत्रिकाओं,True
tapan,तपन,तपन,True
tarkvaad,तर्कवाद,तर्कवाद,True
talawon,तलवों,तलवों,True
talvon,तलवों,तलवों,True
tiwari,तिवारी,तिवारी,True
tir,तीर,तीर,True
tungnath,तुंगनाथ,तुंगनाथ,True
tyauharon,त्यौहारों,त्यौहारों,True
thanvi,थानवी,थानवी,True
thirke,थिरके,थिरके,True
then,थेन,थेन,True
thaili,थैली,थैली,True
danga,दंगा,दंगा,True
damoh,दमोह,दमोह,True
darjano,दर्जनों,दर्जनों,True
dahan,दहन,दहन,True
daakhil,दाखिल,दाखिल,True
daakhile,दाखिले,दाखिले,True
dayitv,दायित्व,दायित्व,True
dayitvon,दायित्वों,दायित्वों,True
dikhayi,दिखाई,दिखाई,True
dita,दिता,दिता,True
deepn,दीपन,दीपन,True
durghtna,दुर्घटना,दुर्घटना,True
devnar,देवनार,देवनार,True
devisinh,देवीसिंह,देवीसिंह,True
deshkal,देशकाल,देशकाल,True
dhakelte,धकेलते,धकेलते,True
dhkelate,धकेलते,धकेलते,True
dhankuber,धनकुबेर,धनकुबेर,True
dhamkaataa,धमकाता,धमकाता,True
dhaak,धाक,धाक,True
dhaga,धागा,धागा,True
dhaatuein,धातुएं,धातुएं,True
dhaatuyein,धातुएं,धातुएं,True
dhrupad,ध्रुपद,ध्रुपद,True
naksalavaad,नक्सलवाद,नक्सलवाद,True
naksalwaad,नक्सलवाद,नक्सलवाद,True
naksalwad,नक्सलवाद,नक्सलवाद,True
naksaliyon,नक्सलियों,नक्सलियों,True
nagaadaa,नगाड़ा,नगाड़ा,True
nageene,नगीने,नगीने,True
najeem,नजीम,नजीम,True
najim,नजीम,नजीम,True
nazeem,नजीम,नजीम,True
namkeen,नमकीन,नमकीन,True
narsanharon,नरसंहारों,नरसंहारों,True
navketan,नवकेतन,नवकेतन,True
navjagran,नवजागरण,नवजागरण,True
nava,नवा,नवा,True
nasim,नसीम,नसीम,True
naakaam,नाकाम,नाकाम,True
nitiyon,नितियों,नितियों,True
nityaa,नित्या,नित्या,True
nirbaadh,निर्बाध,निर्बाध,True
nishnaat,निष्णात,निष्णात,True
nihlaani,निहलानी,निहलानी,True
nihalchand,निहालचंद,निहालचंद,True
neat,नीट,नीट,True
patakkar,पटककर,पटककर,True
patki,पटकी,पटकी,True
padha,पढ़ा,पढ़ा,True
padhaa,पढ़ा,पढ़ा,True
panpana,पनपना,पनपना,True
panaamaa,पनामा,पनामा,True
paneer,पनीर,पनीर,True
pammi,पम्मी,पम्मी,True
parikalpit,परिकल्पित,परिकल्पित,True
purple,पर्पल,पर्पल,True
paltane,पलटने,पलटने,True
pahan,पहन,पहन,True
pehan,पहन,पहन,True
pahantaa,पहनता,पहनता,True
pahante,पहनते,पहनते,True
pehnati,पहनाती,पहनाती,True
pahani,पहनी,पहनी,True
pathykramon,पाठ्यक्रमों,पाठ्यक्रमों,True
pintaa,पिंटा,पिंटा,True
piega,पिएगा,पिएगा,True
pic,पिक,पिक,True
pik,पिक,पिक,True
piki,पिकी,पिकी,True
pigs,पिग्स,पिग्स,True
pichde,पिछड़े,पिछड़े,True
pihani,पिहानी,पिहानी,True
pml,पीएमएल,पीएमएल,True
putul,पुतुल,पुतुल,True
punargathan,पुनर्गठन,पुनर्गठन,True
puna,पुना,पुना,True
pushpit,पुष्पित,पुष्पित,True
poojaapaath,पूजापाठ,पूजापाठ,True
pendulum,पेंडुलम,पेंडुलम,True
pam,पैम,पैम,True
polimer,पॉलिमर,पॉलिमर,True
polymer,पॉलिमर,पॉलिमर,True
polish,पोलिश,पोलिश,True
pratibhutiyan,प्रतिभूतियां,प्रतिभूतियां,True
pravatti,प्रवत्ति,प्रवत्ति,True
prahlaad,प्रहलाद,प्रहलाद,True
pranon,प्राणों,प्राणों,True
prathamik,प्राथमिक,प्राथमिक,True
prapt,प्राप्त,प्राप्त,True
prapta,प्राप्त,प्राप्त,True
programmers,प्रोग्रामर्स,प्रोग्रामर्स,True
proto,प्रोटो,प्रोटो,True
fund,फंड,फंड,True
fagua,फगुआ,फगुआ,True
phatane,फटने,फटने,True
phatne,फटने,फटने,True
phadphadata,फड़फड़ाता,फड़फड़ाता,True
fabti,फब्ती,फब्ती,True
farheen,फरहीन,फरहीन,True
farhin,फरहीन,फरहीन,True
phalibhoot,फलीभूत,फलीभूत,True
phaaph,फाफ,फाफ,True
fikra,फिक्र,फिक्र,True
firti,फिरती,फिरती,True
fislaa,फिसला,फिसला,True
failkar,फैलकर,फैलकर,True
fyuji,फ्यूजी,फ्यूजी,True
fransiska,फ्रांसिस्का,फ्रांसिस्का,True
fransisko,फ्रांसिस्को,फ्रांसिस्को,True
friendship,फ्रेंडशिप,फ्रेंडशिप,True
bang,बंग,बंग,True
bangbhang,बंगभंग,बंगभंग,True
bagichi,बगीची,बगीची,True
bajana,बजना,बजना,True
batlaae,बतलाए,बतलाए,True
batlae,बतलाए,बतलाए,True
batlaye,बतलाए,बतलाए,True
batlaakar,बतलाकर,बतलाकर,True
banam,बनाम,बनाम,True
barsa,बरसा,बरसा,True
barsaataa,बरसाता,बरसाता,True
barhad,बरहद,बरहद,True
baraamad,बरामद,बरामद,True
baramde,बरामदे,बरामदे,True
bagiyon,बागियों,बागियों,True
bajuon,बाजुओं,बाजुओं,True
badh,बाध,बाध,True
badhaon,बाधाओं,बाधाओं,True
barahmasi,बारहमासी,बारहमासी,True
bala,बाला,बाला,True
bavaji,बावजी,बावजी,True
bavra,बावरा,बावरा,True
bawara,बावरा,बावरा,True
baahulya,बाहुल्य,बाहुल्य,True
bikherati,बिखेरती,बिखेरती,True
bichhua,बिछुआ,बिछुआ,True
bichhuaa,बिछुआ,बिछुआ,True
biji,बिजी,बिजी,True
bilhaur,बिल्हौर,बिल्हौर,True
beemon,बीमों,बीमों,True
beesavaan,बीसवां,बीसवां,True
beast,बीस्ट,बीस्ट,True
bull,बुल,बुल,True
bulletin,बुलेटिन,बुलेटिन,True
brijesh,बृजेश,बृजेश,True
belinda,बेलिंडा,बेलिंडा,True
bodraa,बोदरा,बोदरा,True
bolane,बोलने,बोलने,True
boliae,बोलिए,बोलिए,True
brajesh,ब्रजेश,ब्रजेश,True
britain,ब्रिटेन,ब्रिटेन,True
bharani,भरनी,भरनी,True
bharni,भरनी,भरनी,True
bhate,भाते,भाते,True
bhariy,भारीय,भारीय,True
bhaskar,भास्कर,भास्कर,True
bheed,भीड़,भीड़,True
bhulataa,भूलता,भूलता,True
bhulta,भूलता,भूलता,True
bhaunho,भौंहों,भौंहों,True
bhraant,भ्रांत,भ्रांत,True
bhraanti,भ्रांति,भ्रांति,True
bhranti,भ्रांति,भ्रांति,True
bhraantiyan,भ्रांतियां,भ्रांतियां,True
bhrantiyan,भ्रांतियां,भ्रांतियां,True
bhraantiyon,भ्रांतियों,भ्रांतियों,True
bhrantiyon,भ्रांतियों,भ्रांतियों,True
mancheeye,मंचीय,मंचीय,True
manchiy,मंचीय,मंचीय,True
manzil,मंजिल,मंजिल,True
makrani,मकरानी,मकरानी,True
marji,मर्जी,मर्जी,True
maryaadaa,मर्यादा,मर्यादा,True
masaledaar,मसालेदार,मसालेदार,True
masaledar,मसालेदार,मसालेदार,True
masse,मस्से,मस्से,True
mahkane,महकने,महकने,True
mahagranth,महाग्रंथ,महाग्रंथ,True
mhagranth,महाग्रंथ,महाग्रंथ,True
mhapauron,महापौरों,महापौरों,True
mahamantr,महामंत्र,महामंत्र,True
malish,मालिश,मालिश,True
mave,मावे,मावे,True
mitao,मिटाओ,मिटाओ,True
mungeri,मुंगेरी,मुंगेरी,True
mundva,मुंडवा,मुंडवा,True
mundwa,मुंडवा,मुंडवा,True
mufalisi,मुफलिसी,मुफलिसी,True
mood,मूड,मूड,True
moodi,मूडी,मूडी,True
moody,मूडी,मूडी,True
mular,मूलर,मूलर,True
melghat,मेलघाट,मेलघाट,True
melani,मेलानी,मेलानी,True
main,मैन,मैन,True
maine,मैने,मैने,True
maisor,मैसोर,मैसोर,True
motive,मोटिव,मोटिव,True
mohani,मोहानी,मोहानी,True
yojanaein,योजनाएं,योजनाएं,True
raktaabh,रक्ताभ,रक्ताभ,True
raghuram,रघुराम,रघुराम,True
runners,रनर्स,रनर्स,True
rahenge,रहेंगे,रहेंगे,True
raakhe,राखे,राखे,True
rabha,राभा,राभा,True
raalod,रालोद,रालोद,True
riggs,रिग्स,रिग्स,True
rishte,रिश्ते,रिश्ते,True
rihana,रिहाना,रिहाना,True
rihanna,रिहाना,रिहाना,True
rita,रीता,रीता,True
roots,रूट्स,रूट्स,True
racer,रेसर,रेसर,True
racketier,रैकेटियर,रैकेटियर,True
raith,रैथ,रैथ,True
royals,रॉयल्स,रॉयल्स,True
ronaldo,रोनाल्डो,रोनाल्डो,True
raubadaar,रौबदार,रौबदार,True
raubadar,रौबदार,रौबदार,True
laganewale,लगनेवाले,लगनेवाले,True
lahna,लहना,लहना,True
lehna,लहना,लहना,True
lanchar,लांचर,लांचर,True
laegi,लाएगी,लाएगी,True
laati,लाती,लाती,True
lati,लाती,लाती,True
leedaron,लीडरों,लीडरों,True
lurhakate,लुढ़कते,लुढ़कते,True
lumding,लुमडिंग,लुमडिंग,True
lendal,लेंडल,लेंडल,True
letakar,लेटकर,लेटकर,True
lanset,लैंसेट,लैंसेट,True
longoval,लोंगोवाल,लोंगोवाल,True
lochdar,लोचदार,लोचदार,True
wonder,वंडर,वंडर,True
vajood,वजूद,वजूद,True
wajood,वजूद,वजूद,True
varn,वर्ण,वर्ण,True
vartamaan,वर्तमान,वर्तमान,True
vartaman,वर्तमान,वर्तमान,True
verbal,वर्बल,वर्बल,True
vaangchuk,वांगचुक,वांगचुक,True
watanukoollan,वातानुकूलन,वातानुकूलन,True
wireless,वायरलेस,वायरलेस,True
vikalpon,विकल्पों,विकल्पों,True
vikramjeet,विक्रमजीत,विक्रमजीत,True
vidyaayein,विद्याएं,विद्याएं,True
vidhivat,विधिवत,विधिवत,True
wipro,विप्रो,विप्रो,True
vibhram,विभ्रम,विभ्रम,True
vibhrm,विभ्रम,विभ्रम,True
vishwasniiya,विश्वसनीय,विश्वसनीय,True
vishwasniiyataa,विश्वसनीयता,विश्वसनीयता,True
vishnu,विष्णु,विष्णु,True
ved,वेड,वेड,True
wed,वेड,वेड,True
velvet,वेलवेट,वेलवेट,True
welwet,वेलवेट,वेलवेट,True
vaigyaanikta,वैज्ञानिकता,वैज्ञानिकता,True
vaigyanikata,वैज्ञानिकता,वैज्ञानिकता,True
vaigyanikta,वैज्ञानिकता,वैज्ञानिकता,True
vaitrawati,वैत्रवती,वैत्रवती,True
vyaktigat,व्यक्तिगत,व्यक्तिगत,True
vyavahargat,व्यवहारगत,व्यवहारगत,True
vyaghat,व्याघात,व्याघात,True
vlad,व्लाद,व्लाद,True
shbana,शबाना,शबाना,True
shakhayen,शाखाएं,शाखाएं,True
shujat,शुजात,शुजात,True
shrimati,श्रीमति,श्रीमति,True
sanchalanon,संचालनों,संचालनों,True
sanchalnon,संचालनों,संचालनों,True
sanjay,संजय,संजय,True
sandarbha,संदर्भ,संदर्भ,True
samprti,संप्रति,संप्रति,True
samprabhuta,संप्रभुता,संप्रभुता,True
samvedikaran,संवेदीकरण,संवेदीकरण,True
sanvedikaran,संवेदीकरण,संवेदीकरण,True
sanskaar,संस्कार,संस्कार,True
sanskari,संस्कारी,संस्कारी,True
sanasthit,संस्थित,संस्थित,True
sate,सते,सते,True
satvat,सत्वत,सत्वत,True
sapramaan,सप्रमाण,सप्रमाण,True
sabhayen,सभाएं,सभाएं,True
samjhoonga,समझूंगा,समझूंगा,True
salahkar,सलाहकार,सलाहकार,True
salib,सलीब,सलीब,True
sahadev,सहदेव,सहदेव,True
sathiya,साथिया,साथिया,True
saayn,सायं,सायं,True
sayara,सायरा,सायरा,True
sayra,सायरा,सायरा,True
salve,साल्वे,साल्वे,True
singar,सिंगार,सिंगार,True
simate,सिमटे,सिमटे,True
simi,सिमी,सिमी,True
sutli,सुतली,सुतली,True
suneeti,सुनीति,सुनीति,True
surveen,सुरवीन,सुरवीन,True
suljayi,सुलझाई,सुलझाई,True
susanskrit,सुसंस्कृत,सुसंस्कृत,True
susanskrut,सुसंस्कृत,सुसंस्कृत,True
seth,सेथ,सेथ,True
selfie,सेल्फी,सेल्फी,True
scala,स्काला,स्काला,True
squash,स्क्वाश,स्क्वाश,True
stop,स्टॉप,स्टॉप,True
stops,स्टॉप्स,स्टॉप्स,True
stre,स्ट्रे,स्ट्रे,True
sthool,स्थूल,स्थूल,True
sthoolta,स्थूलता,स्थूलता,True
sneakers,स्नीकर्स,स्नीकर्स,True
swaachaalit,स्वाचालित,स्वाचालित,True
swiftlate,स्विफ्टलेट,स्विफ्टलेट,True
humlavar,हमलावर,हमलावर,True
hamal,हमाल,हमाल,True
harijan,हरिजन,हरिजन,True
hasinon,हसीनों,हसीनों,True
haarjeet,हारजीत,हारजीत,True
hijda,हिजड़ा,हिजड़ा,True
hijbul,हिजबुल,हिजबुल,True
hegde,हेगडे,हेगडे,True
hairam,हैरम,हैरम,True
